;DOY;Lake_Height;Discharge_in;Discharge_out;Prec;Air_T;Rad
103;103;429,4052917;3,763666667;10,08741667;3;12,55416667;233,5416667
104;104;429,40825;6,422875;10,00720833;30,5;9,3125;77,875
105;105;429,430375;8,953583333;13,44645833;4;10,74166667;244,625
106;106;429,4321667;6,187125;9,563041667;7,4;11,1375;63,41666667
107;107;429,4415417;8,357666667;10,89541667;18,8;12,50416667;192,75
108;108;429,488375;22,63154167;17,426;21;8,8375;53,375
109;109;429,58225;32,36375;35,32370833;6,1;5,895833333;87,70833333
110;110;429,5893333;17,81329167;35,00391667;0;9,583333333;296,2916667
111;111;429,5589167;12,11404167;25,936875;0;12,88333333;289,875
112;112;429,5326667;9,52275;20,24466667;0;14,21666667;211,0833333
113;113;429,5149583;8,150541667;17,56883333;10,1;14,62916667;256,375
114;114;429,5250417;15,04658333;22,96416667;8,3;9,370833333;62,45833333
115;115;429,5349583;19,00766667;32,97370833;0,5;5,404166667;239,7083333
116;116;429,5141667;11,50116667;21,791625;0,1;5,2;164
117;117;429,503375;9,364458333;16,519;3,6;6,408333333;80,75
118;118;429,4795833;8,603958333;21,576125;0,3;4,025;168,125
119;119;429,4445833;7,497916667;17,92595833;0;6,033333333;259,875
120;120;429,4227083;6,577625;13,60775;0;8,675;315,9583333
121;121;429,4181667;6,34425;9,654458333;8,2;8,1625;154,9166667
122;122;429,4377083;15,019;16,66920833;4,8;6,383333333;71,95833333
123;123;429,4589167;16,22991667;19,47583333;0;10,71666667;241,125
124;124;429,4723333;11,71695833;16,07875;1,3;10,1875;201,2916667
125;125;429,4632917;9,136625;16,66879167;0;10,8;325,2083333
126;126;429,454;7,489375;13,87283333;0;13,375;332,9583333
127;127;429,4420417;6,509333333;12,728;0;14,1375;326,4166667
128;128;429,4310833;5,813541667;11,24391667;0;16,14583333;313,7083333
129;129;429,42;5,278291667;10,988625;0;16,95833333;311
130;130;429,4081667;4,91375;10,643625;0,1;16,97083333;123,625
131;131;429,39925;4,832916667;9,994291667;0,5;17,58333333;258,2083333
132;132;429,3959167;4,598083333;5,514375;9,5;15,49166667;110,9583333
133;133;429,4283333;6,8045;11,10641667;21,8;11,39166667;61,45833333
134;134;429,473;19,0435;11,629625;15,3;11,475;65,16666667
135;135;429,52625;13,52620833;11,19933333;1,8;12,59166667;136,75
136;136;429,5489583;11,23666667;12,6205;0;9,479166667;298,4583333
137;137;429,547625;8,130416667;13,51758333;0,6;9,5;182,2916667
138;138;429,5314583;6,821416667;15,02420833;0;11,5375;191,5833333
139;139;429,5040833;6,123416667;15,21358333;6,8;13,20833333;281,5416667
140;140;429,5065;15,49091667;21,74729167;8,1;9,704166667;147,2916667
141;141;429,493;12,36629167;22,90566667;0;12,2625;335,4166667
142;142;429,4676667;8,474125;17,11025;0;15,80833333;330,5
143;143;429,4489583;6,978083333;12,75829167;11,8;16,04166667;237,4166667
144;144;429,507125;30,36529167;25,71591667;22,9;8,779166667;79,04166667
145;145;429,5538333;25,13370833;31,78233333;1;11,31666667;161,875
146;146;429,550375;14,09125;22,95375;0;13,15;236,5
147;147;429,5301667;10,48616667;20,82083333;0;15,95416667;277,125
148;148;429,493875;8,535583333;22,69266667;11,3;19,80416667;320,875
149;149;429,469625;11,76979167;23,27995833;18,5;17,6375;210,625
150;150;429,4664583;11,91441667;10,58725;14,1;14,54166667;56,04166667
151;151;429,55025;16,964;4,382958333;3,3;13,05833333;66,54166667
152;152;429,5817917;18,06025;19,087375;1,8;13,32916667;160,8333333
153;153;429,5801667;13,15445833;22,05033333;0;14,75;219,625
154;154;429,5734167;13,96954167;20,521125;18,8;13,775;87,45833333
155;155;429,5800833;16,27095833;25,550875;3,5;14,5375;123,375
156;156;429,5723333;16,17479167;27,69708333;4,3;15,26666667;171,2916667
157;157;429,5567083;12,88975;26,095;0;15,94583333;206,4583333
158;158;429,5371667;10,24616667;19,19158333;0;17,8625;333,0833333
159;159;429,5152083;8,415083333;16,861;3,7;18,25833333;173,5
160;160;429,505125;8,507958333;14,87466667;25,5;16,2;131,4583333
161;161;429,5072083;7,877166667;15,19008333;0,6;16,60416667;222,1666667
162;162;429,50675;6,787625;9,905125;3,5;17,725;324,625
163;163;429,5282917;10,25133333;10,71866667;10,5;15,37083333;120,4583333
164;164;429,544125;9,2875;16,08441667;2,9;15,05;90,66666667
165;165;429,5471667;10,82058333;13,481875;16;14,50833333;90,5
166;166;429,57625;21,086;19,70433333;7,4;14,825;185,2916667
167;167;429,5877083;13,518375;20,67045833;8,8;15,2125;209,1666667
168;168;429,609375;18,610875;18,592;23,4;13,14583333;105,5
169;169;429,685625;27,78141667;19,011625;8,8;13,45416667;190,3333333
170;170;429,7306667;15,22658333;17,03566667;1,7;14,15833333;223,25
171;171;429,7542083;12,65079167;14,00270833;6;13,82916667;176,125
172;172;429,7652083;10,03941667;14,83758333;0,5;16,24166667;307,625
173;173;429,7575833;8,704833333;16,63358333;0,4;16,3875;144
174;174;429,726125;7,803208333;20,23729167;0;21,5375;349,0833333
175;175;429,6831667;6,810333333;20,28545833;0;23,85833333;351,6666667
176;176;429,6404167;6,074916667;21,89275;0,4;25,09166667;336,3333333
177;177;429,6139583;7,908208333;15,69591667;4,2;18,8125;183,75
178;178;429,604875;6,67625;11,43075;0;17,40416667;269,3333333
179;179;429,5824583;5,612208333;13,43804167;0;18,26666667;309,25
180;180;429,5545833;5,087708333;14,54795833;0;19,48333333;342,5
181;181;429,5168333;4,702958333;16,19570833;0,5;22,425;300,625
182;182;429,4856667;5,0365;20,13020833;1,8;20,40416667;255,0833333
183;183;429,4384167;4,291416667;16,07620833;0;21,55;299,875
184;184;429,4334583;11,89004167;18,095125;0,6;18,40833333;108,9583333
185;185;429,415;9,706333333;24,16566667;0;17,89166667;346,7916667
186;186;429,3673333;6,20925;17,12970833;0;19,6125;353,125
187;187;429,3417083;5,155833333;10,71891667;0;21,33333333;337,9583333
188;188;429,330625;4,481458333;6,701208333;0;20,8625;324,375
189;189;429,3315833;4,063625;6,539;0;21,44166667;353,4166667
190;190;429,343625;3,771958333;2,303;0;23,34583333;299,75
191;191;429,3515833;3,477291667;3,47325;0;24,475;345,7083333
192;192;429,3546667;3,302958333;2,630458333;0;24,9125;334,2083333
193;193;429,3602083;3,305291667;7,802291667;12,2;22,5125;165,9583333
194;194;429,4081667;31,426375;19,78541667;17,5;17,10416667;48,125
195;195;429,496;29,11375;28,49941667;0,2;15,08333333;243
196;196;429,4840417;14,33204167;20,99541667;1,1;12,9875;132,5
197;197;429,48275;12,54758333;17,44;0;14,625;228,7916667
198;198;429,4650417;8,204791667;15,95533333;0;17,59583333;344
199;199;429,4416667;6,419375;12,14958333;0;20,86666667;342,3333333
200;200;429,42025;5,36525;13,302125;0;22,69166667;330,0416667
201;201;429,39925;4,6245;8,686666667;0;23,89166667;337,375
202;202;429,3903333;4,144708333;8,181125;0;25,19583333;318
203;203;429,387125;3,799333333;5,942541667;2,9;22,7625;192,6666667
204;204;429,3907083;4,917916667;3,823041667;6,8;19,72083333;110,9166667
205;205;429,4103333;4,522875;9,914083333;1,4;20,0625;200,4166667
206;206;429,4110833;5,284375;5,601041667;0;21,4375;269,5416667
207;207;429,401875;4,124666667;6,313916667;0;22,57083333;315,25
208;208;429,401125;3,441916667;7,480625;0,5;23,2625;265,5833333
209;209;429,3948333;3,211625;4,662291667;6,9;21,52083333;290,875
